"countyCode","weighted_fatality"
"755","33015",0.0120568
"756","35031",0.0099578
"757","36011",0.01279792
"758","36047",0.00952228
"759","37089",0.01647292
"760","39057",0.01143796
"761","39139",0.0133547
"762","41033",0.0164958
"763","42007",0.01421576
"764","42037",0.01306572
"765","45031",0.01200996
"766","45079",0.00874466
"767","48157",0.00764958
"768","48181",0.01162634
"769","48451",0.00989032
"770","51019",0.01402106
"771","53021",0.00679566
"772","53025",0.00925586
"773","55109",0.009349
"774","05045",0.00821852
"775","06019",0.00856282
"776","08013",0.00957668
"777","08041",0.0087498
"778","12015",0.02518686
"779","12057",0.0097175
"780","18043",0.01118304
"781","21093",0.00985648
"782","22071",0.00979706
"783","23003",0.01620298
"784","24005",0.01172398
"785","24043",0.01184282
"786","26125",0.01144046
"787","34001",0.01208508
"788","34023",0.010361
"789","34037",0.0113586
"790","35005",0.0116645
"791","35013",0.01046956
"792","36085",0.01084416
"793","42071",0.01219374
"794","42107",0.0136875
"795","42129",0.01515962
"796","45083",0.01037472
"797","48339",0.0085955
"798","51087",0.01081816
"799","51760",0.0091049
"800","55035",0.01031584
"801","55063",0.0110352
"802","01003",0.01308156
"803","05125",0.0113518
"804","12009",0.01566094
"805","17091",0.01140152
"806","18005",0.01067486
"807","18057",0.00861826
"808","19153",0.00875096
"809","20209",0.0082124
"810","22045",0.00983612
"811","22103",0.0111477
"812","24001",0.01306072
"813","25005",0.01158854
"814","26021",0.01328582
"815","26093",0.01137968
"816","26103",0.01243956
"817","29019",0.0083808
"818","34031",0.01004304
"819","35043",0.01102702
"820","36093",0.0122292
"821","37031",0.01552304
"822","37155",0.0099977
"823","39133",0.01080576
"824","41047",0.01044648
"825","42027",0.00946264
"826","42125",0.01343634
"827","45059",0.01143236
"828","47001",0.01340016
"829","51085",0.01171022
"830","53035",0.01116274
"831","55055",0.01128268
"832","55087",0.01026734
"833","01049",0.01157952
"834","06007",0.0115756
"835","06017",0.01349438
"836","06025",0.0088234
"837","06029",0.00767314
"838","06041",0.0143847
