"countyCode","population","total.Under.5.years","percent.Under.5.years","total.5.to.9.years","percent.5.to.9.years","total.10.to.14.years","percent.10.to.14.years","total.15.to.19.years","percent.15.to.19.years","total.20.to.24.years","percent.20.to.24.years","total.25.to.29.years","percent.25.to.29.years","total.30.to.34.years","percent.30.to.34.years","total.35.to.39.years","percent.35.to.39.years","total.40.to.44.years","percent.40.to.44.years","total.45.to.49.years","percent.45.to.49.years","total.50.to.54.years","percent.50.to.54.years","total.55.to.59.years","percent.55.to.59.years","total.60.to.64.years","percent.60.to.64.years","total.65.to.69.years","percent.65.to.69.years","total.70.to.74.years","percent.70.to.74.years","total.75.to.79.years","percent.75.to.79.years","total.80.to.84.years","percent.80.to.84.years","total.85.years.and.over","percent.85.years.and.over"
"690","48303",307412,20735,6.7,21350,6.9,19234,6.3,26705,8.7,37452,12.2,23792,7.7,20025,6.5,19022,6.2,18228,5.9,15021,4.9,15593,5.1,15512,5,17144,5.6,13296,4.3,8180,2.7,6843,2.2,4882,1.6,4398,1.4
"691","54003",117123,6881,5.9,6865,5.9,7917,6.8,7593,6.5,6923,5.9,7738,6.6,8010,6.8,7261,6.2,7885,6.7,7857,6.7,9033,7.7,7609,6.5,7990,6.8,6452,5.5,5248,4.5,2661,2.3,1767,1.5,1433,1.2
"692","55073",135428,7814,5.8,8507,6.3,8946,6.6,8597,6.3,7962,5.9,8032,5.9,7624,5.6,9345,6.9,7562,5.6,8156,6,9389,6.9,10703,7.9,9021,6.7,7413,5.5,6033,4.5,3772,2.8,3526,2.6,3026,2.2
"693","02090",98971,7382,7.5,6447,6.5,6405,6.5,6973,7,8641,8.7,10772,10.9,7486,7.6,8406,8.5,5472,5.5,5287,5.3,5035,5.1,5037,5.1,5415,5.5,5350,5.4,1996,2,1133,1.1,868,0.9,866,0.9
"694","05085",73657,4570,6.2,4180,5.7,6804,9.2,4872,6.6,4066,5.5,5112,6.9,4647,6.3,5730,7.8,4515,6.1,5783,7.9,4859,6.6,4422,6,4340,5.9,3463,4.7,2368,3.2,1973,2.7,990,1.3,963,1.3
"695","06001",1666753,96774,5.8,91122,5.5,99712,6,93289,5.6,99631,6,137355,8.2,141601,8.5,136963,8.2,114444,6.9,115418,6.9,106753,6.4,107322,6.4,95859,5.8,77899,4.7,58843,3.5,38789,2.3,27415,1.6,27564,1.7
"696","06097",499942,24591,4.9,27576,5.5,28649,5.7,30274,6.1,27975,5.6,31079,6.2,31468,6.3,34033,6.8,29702,5.9,31375,6.3,32574,6.5,36261,7.3,36355,7.3,34672,6.9,25550,5.1,16420,3.3,9408,1.9,11980,2.4
"697","06113",220408,12882,5.8,12582,5.7,13067,5.9,22302,10.1,31778,14.4,15045,6.8,13657,6.2,15458,7,10527,4.8,12128,5.5,11087,5,11640,5.3,11078,5,9101,4.1,6663,3,4310,2,3558,1.6,3545,1.6
"698","09015",117027,4941,4.2,5999,5.1,7137,6.1,9178,7.8,7718,6.6,7082,6.1,8027,6.9,6736,5.8,7634,6.5,7445,6.4,8458,7.2,8876,7.6,8870,7.6,6057,5.2,4980,4.3,3455,3,1733,1.5,2701,2.3
"699","12011",1951260,112814,5.8,103428,5.3,125760,6.4,112149,5.7,113746,5.8,130485,6.7,131783,6.8,133600,6.8,127083,6.5,134353,6.9,140105,7.2,134723,6.9,126706,6.5,100463,5.1,80671,4.1,61632,3.2,41215,2.1,40544,2.1
